Dataset	Genome_replicon	AMR_annotation_count
High complexity	GCF_001461885.1	3
High complexity	GCF_001463725.1	1
High complexity	GCF_001465545.3	4
High complexity	GCF_001465795.2	2
High complexity	GCF_001477625.1	1
High complexity	GCF_001484565.1	6
High complexity	GCF_001507315.1	4
High complexity	GCF_001507645.1	2
High complexity	GCF_001509405.1	3
High complexity	GCF_001511835.1	1
High complexity	GCF_001513675.1	2
High complexity	GCF_001518915.1	7
High complexity	GCF_001522585.2	10
High complexity	GCF_001523745.2	8
High complexity	GCF_001523915.2	9
High complexity	GCF_001524625.2	7
High complexity	GCF_001524645.2	8
High complexity	GCF_001532025.2	8
High complexity	GCF_001535545.1	3
High complexity	GCF_001542815.1	4
High complexity	GCF_001545155.1	4
High complexity	GCF_001546095.1	7
High complexity	GCF_001546925.1	8
High complexity	GCF_001547895.1	9
High complexity	GCF_001547915.1	8
High complexity	GCF_001548155.2	3
High complexity	GCF_001548395.1	5
High complexity	GCF_001548435.1	6
High complexity	GCF_001548455.1	5
High complexity	GCF_001553605.1	1
High complexity	GCF_001554015.1	4
High complexity	GCF_001557535.2	7
High complexity	GCF_001558975.1	2
High complexity	GCF_001562215.1	3
High complexity	GCF_001562255.1	3
High complexity	GCF_001562275.1	3
High complexity	GCF_001563265.1	3
High complexity	GCF_001563285.1	2
High complexity	GCF_001571025.1	2
High complexity	GCF_001577265.1	3
High complexity	GCF_001577365.1	1
High complexity	GCF_001577465.1	5
High complexity	GCF_001577755.1	1
High complexity	GCF_001578105.1	2
High complexity	GCF_001579845.1	5
High complexity	GCF_001579905.1	4
High complexity	GCF_001579945.1	2
High complexity	GCF_001584205.1	3
High complexity	GCF_001590685.1	6
High complexity	GCF_001598115.1	1
High complexity	GCF_001601315.1	2
High complexity	GCF_001610835.1	8
High complexity	GCF_001610855.1	7
High complexity	GCF_001610875.1	2
High complexity	GCF_001610895.1	3
High complexity	GCF_001610995.1	3
High complexity	GCF_001611275.1	1
High complexity	GCF_001611795.1	3
High complexity	GCF_001618865.1	4
High complexity	GCF_001620025.1	3
High complexity	GCF_001622165.1	4
High complexity	GCF_001632775.1	5
High complexity	GCF_001632845.1	2
High complexity	GCF_001632865.1	7
High complexity	GCF_001636295.1	2
High complexity	GCF_001636925.1	2
High complexity	GCF_001636945.2	1
High complexity	GCF_001638925.1	2
High complexity	GCF_001639105.2	2
High complexity	GCF_001641285.1	3
High complexity	GCF_001643015.1	12
High complexity	GCF_001644565.1	3
High complexity	GCF_001644575.1	4
High complexity	GCF_001644605.1	6
High complexity	GCF_001644645.1	2
High complexity	GCF_001644685.1	5
High complexity	GCF_001647635.1	2
High complexity	GCF_001648175.1	4
High complexity	GCF_001650215.1	5
High complexity	GCF_001651805.1	4
High complexity	GCF_001652465.1	3
High complexity	GCF_001652565.1	2
High complexity	GCF_001653335.1	1
High complexity	GCF_001653795.1	4
High complexity	GCF_001654455.1	4
High complexity	GCF_001654495.1	4
High complexity	GCF_001655245.1	3
High complexity	GCF_001655295.1	5
High complexity	GCF_001655595.1	8
High complexity	GCF_001655615.1	10
High complexity	GCF_001658005.1	1
High complexity	GCF_001659705.1	3
High complexity	GCF_001661075.1	8
High complexity	GCF_001663815.1	2
High complexity	GCF_001664325.1	4
High complexity	GCF_001664345.1	4
High complexity	GCF_001664485.1	5
High complexity	GCF_001672375.2	2
High complexity	GCF_001672455.2	3
High complexity	GCF_001673565.1	4
High complexity	GCF_001673705.2	7
High complexity	GCF_001676725.1	5
High complexity	GCF_001676745.1	6
High complexity	GCF_001677435.1	2
High complexity	GCF_001677985.1	5
High complexity	GCF_001679665.1	2
High complexity	GCF_001682295.1	4
High complexity	GCF_001682385.1	1
High complexity	GCF_001683335.1	2
High complexity	GCF_001685395.1	7
High complexity	GCF_001685415.1	1
High complexity	GCF_001687065.1	2
High complexity	GCF_001687105.1	1
High complexity	GCF_001687545.1	2
High complexity	GCF_001687605.2	3
High complexity	GCF_001692275.2	2
High complexity	GCF_001693385.1	5
High complexity	GCF_001693515.2	4
High complexity	GCF_001696615.3	13
High complexity	GCF_001697225.1	1
High complexity	GCF_001698125.1	1
High complexity	GCF_001700945.1	4
High complexity	GCF_001701025.1	7
High complexity	GCF_001703595.1	6
High complexity	GCF_001704295.1	5
High complexity	GCF_001705075.2	1
High complexity	GCF_001705995.2	11
High complexity	GCF_001708505.1	10
High complexity	GCF_001713355.1	3
High complexity	GCF_001713375.1	4
High complexity	GCF_001713395.1	2
High complexity	GCF_001713415.1	2
High complexity	GCF_001713435.1	2
High complexity	GCF_001713455.1	2
High complexity	GCF_001714725.1	1
High complexity	GCF_001717465.1	4
High complexity	GCF_001717525.2	2
High complexity	GCF_001717585.1	2
High complexity	GCF_001717955.1	3
High complexity	GCF_001718875.1	7
High complexity	GCF_001722355.1	6
High complexity	GCF_001735805.1	1
High complexity	GCF_001746835.1	3
High complexity	GCF_001746855.1	1
High complexity	GCF_001747405.1	1
High complexity	GCF_001750215.1	6
High complexity	GCF_001750785.1	7
High complexity	GCF_001753165.1	1
High complexity	GCF_001758625.2	4
High complexity	GCF_001761385.1	2
High complexity	GCF_001761465.1	3
High complexity	GCF_001767255.1	3
High complexity	GCF_001767395.1	2
High complexity	GCF_001806305.1	2
High complexity	GCF_001808185.1	6
High complexity	GCF_001839645.2	3
High complexity	GCF_001839655.2	3
High complexity	GCF_001854125.1	2
High complexity	GCF_001854225.1	2
High complexity	GCF_001854285.1	6
High complexity	GCF_001854305.1	5
High complexity	GCF_001854325.1	5
High complexity	GCF_001854385.1	4
High complexity	GCF_001856665.1	5
High complexity	GCF_001856685.1	2
High complexity	GCF_001857945.1	6
High complexity	GCF_001857965.1	3
High complexity	GCF_001864935.2	1
High complexity	GCF_001865055.2	1
High complexity	GCF_001865315.1	3
High complexity	GCF_001865575.2	4
High complexity	GCF_001865675.1	5
High complexity	GCF_001870225.1	6
High complexity	GCF_001885215.1	2
High complexity	GCF_001886355.1	1
High complexity	GCF_001886615.1	3
High complexity	GCF_001886735.1	2
High complexity	GCF_001886815.1	1
High complexity	GCF_001887265.1	3
High complexity	GCF_001887775.1	2
High complexity	GCF_001888165.1	2
High complexity	GCF_001888185.1	1
High complexity	GCF_001888805.2	26
High complexity	GCF_001889025.1	1
High complexity	GCF_001889605.1	2
High complexity	GCF_001890385.1	2
High complexity	GCF_001901345.1	7
High complexity	GCF_001922345.1	6
High complexity	GCF_001927265.3	4
High complexity	GCF_001931635.1	6
High complexity	GCF_001931675.1	3
High complexity	GCF_001936175.1	3
High complexity	GCF_001941445.1	2
High complexity	GCF_001941625.1	4
High complexity	GCF_001941645.1	4
High complexity	GCF_001941825.1	3
High complexity	GCF_001941845.1	4
High complexity	GCF_001942025.1	4
High complexity	GCF_001954415.1	8
High complexity	GCF_001955695.1	2
High complexity	GCF_001957005.1	8
High complexity	GCF_001969265.1	5
High complexity	GCF_001969445.1	1
High complexity	GCF_001971605.1	3
High complexity	GCF_001971685.1	5
High complexity	GCF_001975725.1	1
High complexity	GCF_001983935.1	2
High complexity	GCF_001983975.1	1
High complexity	GCF_001984015.1	8
High complexity	GCF_001984035.1	2
High complexity	GCF_001984215.1	3
High complexity	GCF_001988955.1	2
High complexity	GCF_001997295.1	5
High complexity	GCF_001997345.1	1
High complexity	GCF_001997385.1	1
High complexity	GCF_001998865.1	2
High complexity	GCF_001999325.1	1
High complexity	GCF_001999905.1	5
High complexity	GCF_001999965.1	1
High complexity	GCF_002002865.1	2
High complexity	GCF_002002885.1	4
High complexity	GCF_002002905.1	3
High complexity	GCF_002002925.1	2
High complexity	GCF_002005145.1	8
High complexity	GCF_002005165.1	3
High complexity	GCF_002007065.3	6
High complexity	GCF_002007605.1	5
High complexity	GCF_002007685.1	5
High complexity	GCF_002008305.4	2
High complexity	GCF_002009175.1	4
High complexity	GCF_002009255.1	4
High complexity	GCF_002009335.2	4
High complexity	GCF_002022225.1	2
High complexity	GCF_002024615.2	6
High complexity	GCF_002025205.1	4
High complexity	GCF_002028385.1	7
High complexity	GCF_002028405.1	1
High complexity	GCF_002037565.1	5
High complexity	GCF_002056295.1	6
High complexity	GCF_002056795.1	6
High complexity	GCF_002057455.1	10
High complexity	GCF_002067135.1	4
High complexity	GCF_002073975.1	1
High complexity	GCF_002074055.1	2
High complexity	GCF_002075285.3	6
High complexity	GCF_002077985.1	2
High complexity	GCF_002078235.1	9
High complexity	GCF_002079265.1	4
High complexity	GCF_002079305.1	1
High complexity	GCF_002080435.1	2
High complexity	GCF_002080455.1	7
High complexity	GCF_002082195.1	5
High complexity	GCF_002086715.1	5
High complexity	GCF_002090335.1	4
High complexity	GCF_002093745.2	7
High complexity	GCF_002094995.1	2
High complexity	GCF_002095475.1	11
High complexity	GCF_002099355.1	3
High complexity	GCF_002105535.1	1
High complexity	GCF_002105555.1	1
High complexity	GCF_002108035.2	2
High complexity	GCF_002108455.1	4
High complexity	GCF_002109385.1	5
High complexity	GCF_002113825.1	2
High complexity	GCF_002117485.1	3
High complexity	GCF_002117725.1	2
High complexity	GCF_002119685.1	7
High complexity	GCF_002142475.1	5
High complexity	GCF_002151445.1	2
High complexity	GCF_002154375.1	5
High complexity	GCF_002155145.1	4
High complexity	GCF_002156025.1	10
High complexity	GCF_002157185.1	1
High complexity	GCF_002157835.1	7
High complexity	GCF_002158865.1	3
High complexity	GCF_002158905.1	1
High complexity	GCF_002162115.2	2
High complexity	GCF_002162135.1	5
High complexity	GCF_002162355.1	4
High complexity	GCF_002163625.1	4
High complexity	GCF_002173775.1	1
High complexity	GCF_002176815.1	2
High complexity	GCF_002192255.1	8
High complexity	GCF_002198685.1	4
High complexity	GCF_002205495.2	1
High complexity	GCF_002215215.1	1
High complexity	GCF_002215495.1	2
High complexity	GCF_002220095.1	3
High complexity	GCF_002220195.1	2
High complexity	GCF_002222655.1	1
High complexity	GCF_002224285.1	3
High complexity	GCF_002224485.1	2
High complexity	GCF_002237445.1	1
High complexity	GCF_002237595.1	3
High complexity	GCF_002239625.1	1
High complexity	GCF_002240205.1	2
High complexity	GCF_002240455.1	6
High complexity	GCF_002243345.2	8
High complexity	GCF_002243515.1	6
High complexity	GCF_002243665.1	2
High complexity	GCF_002250745.2	1
High complexity	GCF_002257565.1	6
High complexity	GCF_002257585.1	3
High complexity	GCF_002261365.1	5
High complexity	GCF_002261425.1	4
High complexity	GCF_002263495.1	5
High complexity	GCF_002263515.1	4
High complexity	GCF_002266435.2	5
High complexity	GCF_002269345.1	1
High complexity	GCF_002269425.1	9
High complexity	GCF_002277895.1	6
High complexity	GCF_002277955.1	1
High complexity	GCF_002285795.1	5
High complexity	GCF_002288075.1	3
High complexity	GCF_002288505.1	3
High complexity	GCF_002288525.1	3
High complexity	GCF_002305855.1	6
High complexity	GCF_002305875.1	7
High complexity	GCF_002310495.1	2
High complexity	GCF_002327105.1	3
High complexity	GCF_002327125.1	1
High complexity	GCF_002327145.1	5
High complexity	GCF_002354895.1	2
High complexity	GCF_002355155.1	2
High complexity	GCF_002355415.1	2
High complexity	GCF_002355735.1	1
High complexity	GCF_002355855.1	1
High complexity	GCF_002355955.1	2
High complexity	GCF_002356155.1	2
High complexity	GCF_002356195.1	1
High complexity	GCF_002356215.1	2
High complexity	GCF_002356335.1	5
High complexity	GCF_002356535.2	9
High complexity	GCF_002367875.1	2
High complexity	GCF_002367995.1	6
High complexity	GCF_002368175.1	7
High complexity	GCF_002368195.1	8
High complexity	GCF_002368215.1	5
High complexity	GCF_002368235.1	6
High complexity	GCF_002368395.1	2
High complexity	GCF_002368435.1	6
High complexity	GCF_002368455.1	6
High complexity	GCF_002374275.1	1
High complexity	GCF_002384255.1	3
High complexity	GCF_002407205.1	1
High complexity	GCF_002407265.1	1
High complexity	GCF_002407485.1	1
High complexity	GCF_002483685.1	3
High complexity	GCF_002501585.1	5
High complexity	GCF_002531755.2	5
High complexity	GCF_002549795.1	3
High complexity	GCF_002557795.1	3
High complexity	GCF_002586745.1	7
High complexity	GCF_002587065.1	9
High complexity	GCF_002591235.1	12
High complexity	GCF_002600635.1	3
High complexity	GCF_002608105.1	6
High complexity	GCF_002688545.1	6
High complexity	GCF_002717025.1	3
High complexity	GCF_002736105.1	6
High complexity	GCF_002741015.1	4
High complexity	GCF_002741035.1	10
