<<<<<<< HEAD
name	taxid	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	percent_total_reads	accn
Paenarthrobacter sp. Y-19	3031125	S	240	358	598	2.00E-05	2.00E-03	GCF_029223985.1
Paenarthrobacter nicotinovorans	29320	S	252	392	644	2.00E-05	2.00E-03	GCF_031454575.1
Renibacterium salmoninarum	1646	S	828	75	903	2.00E-05	2.00E-03	GCF_003343285.1
Vaginimicrobium propionicum	1871034	S	491	454	945	2.00E-05	2.00E-03	GCF_900155645.1
Actinomyces pacaensis	1852377	S	373	20	393	2.00E-05	2.00E-03	GCF_900120245.1
Schaalia sp. JY-X169	2758572	S	800	11	811	2.00E-05	2.00E-03	GCF_014069575.1
Schaalia sp. ZJ405	2709403	S	665	32	697	2.00E-05	2.00E-03	GCF_011038885.2
Schaalia cardiffensis	181487	S	882	83	965	2.00E-05	2.00E-03	GCF_938045605.1
Arcanobacterium canis	999183	S	401	195	596	2.00E-05	2.00E-03	GCF_029625435.1
Arcanobacterium haemolyticum	28264	S	318	377	695	2.00E-05	2.00E-03	GCF_006088775.1
Actinotignum urinale	190146	S	290	232	522	2.00E-05	2.00E-03	GCF_002872015.2
Mobiluncus curtisii	2051	S	465	364	829	2.00E-05	2.00E-03	GCF_947254445.1
Gleimia europaea	66228	S	477	454	931	2.00E-05	2.00E-03	GCF_030811425.1
Boudabousia tangfeifanii	1912795	S	324	18	342	2.00E-05	2.00E-03	GCF_001856685.1
Bifidobacterium sp. ESL0775	2983230	S	870	25	895	2.00E-05	2.00E-03	GCF_029395475.1
Bifidobacterium sp. ESL0728	2983220	S	654	23	677	2.00E-05	2.00E-03	GCF_029392015.1
Bifidobacterium sp. ESL0769	2983229	S	614	30	644	2.00E-05	2.00E-03	GCF_029395495.1
Bifidobacterium sp. ESL0690	2983214	S	549	27	576	2.00E-05	2.00E-03	GCF_029392315.1
Bifidobacterium sp. ESL0732	2983222	S	496	29	525	2.00E-05	2.00E-03	GCF_029395535.1
Bifidobacterium sp. ESL0682	2983212	S	464	11	475	2.00E-05	2.00E-03	GCF_029392815.1
Bifidobacterium sp. ESL0704	2983219	S	265	341	606	2.00E-05	2.00E-03	GCF_029392075.1
Bifidobacterium sp. ESL0798	2983235	S	191	269	460	2.00E-05	2.00E-03	GCF_029395415.1
Bifidobacterium sp. KRGSERBCFTRI	2985571	S	1	356	357	2.00E-05	2.00E-03	GCF_025908335.1
Bifidobacterium pseudocatenulatum	28026	S	682	208	890	2.00E-05	2.00E-03	GCF_030269785.1
Bifidobacterium imperatoris	2020965	S	367	97	464	2.00E-05	2.00E-03	GCF_017357045.1
Bifidobacterium saguini	762210	S	310	62	372	2.00E-05	2.00E-03	GCF_017378515.1
Parascardovia denticolens	78258	S	719	132	851	2.00E-05	2.00E-03	GCF_938044075.1
Candidatus Planktophila lacus	1884913	S	405	107	512	2.00E-05	2.00E-03	GCF_002288385.1
Candidatus Planktophila versatilis	1884905	S	324	125	449	2.00E-05	2.00E-03	GCF_002288345.1
Atopobium sp. oral taxon 416	712157	S	804	134	938	2.00E-05	2.00E-03	GCF_018128285.1
Leptogranulimonas caecicola	2894156	S	784	130	914	2.00E-05	2.00E-03	GCF_023168405.1
Staphylococcus simulans	1286	S	509	91	600	2.00E-05	2.00E-03	GCF_032468335.1
Staphylococcus xylosus	1288	S	445	77	522	2.00E-05	2.00E-03	GCF_029667155.1
Staphylococcus pseudintermedius	283734	S	177	148	325	2.00E-05	2.00E-03	GCF_032464605.1
Bacillus cytotoxicus	580165	S	372	169	541	2.00E-05	2.00E-03	GCF_029850805.1
Bacillus tropicus	2026188	S	122	469	591	2.00E-05	2.00E-03	GCF_031357045.1
Bacillus sp. Y1	352858	S	717	120	837	2.00E-05	2.00E-03	GCF_014489805.1
Bacillus sp. DX3.1	3052091	S	620	311	931	2.00E-05	2.00E-03	GCF_030292155.1
Bacillus sp. FJAT-22090	1581038	S	595	86	681	2.00E-05	2.00E-03	GCF_007677425.1
Bacillus sp. OxB-1	98228	S	535	42	577	2.00E-05	2.00E-03	GCF_000829195.1
Bacillus sp. FJAT-42376	2014076	S	345	71	416	2.00E-05	2.00E-03	GCF_003816055.1
Bacillus sp. KH172YL63	2709784	S	298	48	346	2.00E-05	2.00E-03	GCF_011398925.1
Bacillus sp. N3536	2666127	S	84	326	410	2.00E-05	2.00E-03	GCF_009676825.1
Bacillus sp. CMF12	2884834	S	27	724	751	2.00E-05	2.00E-03	GCF_023823855.1
Bacillus sp. YP1	1574141	S	2	384	386	2.00E-05	2.00E-03	GCF_000877815.1
Bacillus sp. ZHX3	2841656	S	1	554	555	2.00E-05	2.00E-03	GCF_023278545.1
Bacillus sp. WR11	2448811	S	1	450	451	2.00E-05	2.00E-03	GCF_004103875.1
Bacillus siamensis	659243	S	107	238	345	2.00E-05	2.00E-03	GCF_032469975.1
Bacillus paralicheniformis	1648923	S	524	239	763	2.00E-05	2.00E-03	GCF_032467935.1
Bacillus atrophaeus	1452	S	490	217	707	2.00E-05	2.00E-03	GCF_032460565.1
Bacillus vallismortis	72361	S	299	159	458	2.00E-05	2.00E-03	GCF_026792345.1
Bacillus halotolerans	260554	S	130	214	344	2.00E-05	2.00E-03	GCF_031001775.1
Bacillus licheniformis	1402	S	112	719	831	2.00E-05	2.00E-03	GCF_031157615.1
Bacillus methanolicus	1471	S	783	155	938	2.00E-05	2.00E-03	GCF_028888695.1
Bacillus glycinifermentans	1664069	S	739	180	919	2.00E-05	2.00E-03	GCF_030418985.1
Bacillus infantis	324767	S	529	87	616	2.00E-05	2.00E-03	GCF_024706405.1
Bacillus weihaiensis	1547283	S	426	65	491	2.00E-05	2.00E-03	GCF_011524325.1
Bacillus arachidis	2819290	S	422	263	685	2.00E-05	2.00E-03	GCF_030285945.1
Bacillus safensis	561879	S	413	386	799	2.00E-05	2.00E-03	GCF_031455425.1
Bacillus aquiflavi	2672567	S	371	40	411	2.00E-05	2.00E-03	GCF_019915265.1
Bacillus gobiensis	1441095	S	370	71	441	2.00E-05	2.00E-03	GCF_001278705.1
Bacillus badius	1455	S	368	71	439	2.00E-05	2.00E-03	GCF_030269245.1
Bacillus swezeyi	1925020	S	352	95	447	2.00E-05	2.00E-03	GCF_030908325.1
Bacillus fonticola	2728853	S	317	38	355	2.00E-05	2.00E-03	GCF_012955605.1
Bacillus smithii	1479	S	306	81	387	2.00E-05	2.00E-03	GCF_027692035.1
Bacillus carboniphilus	86663	S	292	34	326	2.00E-05	2.00E-03	GCF_020524035.2
Neobacillus sp. PS3-34	3070678	S	841	105	946	2.00E-05	2.00E-03	GCF_030915465.1
Neobacillus sp. OS1-32	3070682	S	800	132	932	2.00E-05	2.00E-03	GCF_030915425.1
Neobacillus sp. PS2-9	3070676	S	699	193	892	2.00E-05	2.00E-03	GCF_030915525.1
Neobacillus sp. OS1-2	3070680	S	564	139	703	2.00E-05	2.00E-03	GCF_030915505.1
Priestia filamentosa	1402861	S	601	37	638	2.00E-05	2.00E-03	GCF_032027705.1
Priestia flexa	86664	S	406	68	474	2.00E-05	2.00E-03	GCF_031920185.1
Priestia koreensis	284581	S	297	39	336	2.00E-05	2.00E-03	GCF_032459025.1
Peribacillus muralis	264697	S	455	44	499	2.00E-05	2.00E-03	GCF_022603235.1
Geobacillus genomosp. 3	1921421	S	828	138	966	2.00E-05	2.00E-03	GCF_000445995.2
Geobacillus sp. 46C-IIa	1963025	S	423	88	511	2.00E-05	2.00E-03	GCF_014679505.1
Geobacillus thermocatenulatus	33938	S	256	164	420	2.00E-05	2.00E-03	GCF_002243665.1
Geobacillus thermoleovorans	33941	S	37	507	544	2.00E-05	2.00E-03	GCF_014679145.1
Geobacillus kaustophilus	1462	S	36	471	507	2.00E-05	2.00E-03	GCF_030908605.1
[Bacillus] caldolyticus	1394	S	35	422	457	2.00E-05	2.00E-03	GCF_003595605.1
Geobacillus proteiniphilus	860353	S	222	288	510	2.00E-05	2.00E-03	GCF_030908585.1
Geobacillus thermodenitrificans	33940	S	63	329	392	2.00E-05	2.00E-03	GCF_021696955.2
Geobacillus zalihae	213419	S	43	291	334	2.00E-05	2.00E-03	GCF_030414215.1
Lysinibacillus sp. Ag94	2936682	S	713	16	729	2.00E-05	2.00E-03	GCF_023242215.1
Lysinibacillus sp. PLM2	2929796	S	460	82	542	2.00E-05	2.00E-03	GCF_023168345.1
Lysinibacillus sp. SGAir0095	2070463	S	410	84	494	2.00E-05	2.00E-03	GCF_005491425.1
Lysinibacillus fusiformis	28031	S	795	143	938	2.00E-05	2.00E-03	GCF_030435155.1
Lysinibacillus agricola	2590012	S	685	54	739	2.00E-05	2.00E-03	GCF_016638705.1
Lysinibacillus timonensis	2086577	S	517	109	626	2.00E-05	2.00E-03	GCF_900291985.1
Lysinibacillus pakistanensis	759811	S	380	42	422	2.00E-05	2.00E-03	GCF_032085155.1
Lysinibacillus parviboronicapiens	436516	S	307	40	347	2.00E-05	2.00E-03	GCF_003049605.2
Lysinibacillus sphaericus	1421	S	225	104	329	2.00E-05	2.00E-03	GCF_031197935.1
Metabacillus sp. cB07	2806989	S	304	72	376	2.00E-05	2.00E-03	GCF_016839225.1
Metabacillus sp. B2-18	2897333	S	216	228	444	2.00E-05	2.00E-03	GCF_021117275.1
Metabacillus sp. CT-WN-B3	3048891	S	61	891	952	2.00E-05	2.00E-03	GCF_030127205.1
Metabacillus litoralis	152268	S	267	150	417	2.00E-05	2.00E-03	GCF_023715305.1
Metabacillus dongyingensis	2874282	S	29	877	906	2.00E-05	2.00E-03	GCF_019933155.2
Cytobacillus firmus	1399	S	742	228	970	2.00E-05	2.00E-03	GCF_963518835.1
Cytobacillus gottheilii	859144	S	551	97	648	2.00E-05	2.00E-03	GCF_947486845.1
Cytobacillus kochii	859143	S	536	77	613	2.00E-05	2.00E-03	GCF_030812975.1
Cytobacillus spongiae	2901381	S	409	74	483	2.00E-05	2.00E-03	GCF_021390075.1
Mesobacillus sp. AQ2	3043332	S	495	114	609	2.00E-05	2.00E-03	GCF_030122805.1
Mesobacillus sp. S13	2880221	S	298	80	378	2.00E-05	2.00E-03	GCF_020422885.1
Mesobacillus jeotgali	129985	S	664	203	867	2.00E-05	2.00E-03	GCF_031759225.1
Mesobacillus foraminis	279826	S	549	80	629	2.00E-05	2.00E-03	GCF_018612955.1
Mesobacillus subterraneus	285983	S	287	93	380	2.00E-05	2.00E-03	GCF_020524355.2
Heyndrickxia oleronia	38875	S	521	122	643	2.00E-05	2.00E-03	GCF_029876645.1
Heyndrickxia vini	1476025	S	357	49	406	2.00E-05	2.00E-03	GCF_016772275.1
Parageobacillus thermoglucosidasius	1426	S	452	188	640	2.00E-05	2.00E-03	GCF_024509915.1
Parageobacillus caldoxylosilyticus	81408	S	404	142	546	2.00E-05	2.00E-03	GCF_022846455.1
Parageobacillus genomosp. 1	1295642	S	367	91	458	2.00E-05	2.00E-03	GCF_000632515.1
Parageobacillus sp. KH3-4	2916802	S	286	103	389	2.00E-05	2.00E-03	GCF_022846435.1
Parageobacillus toebii	153151	S	136	544	680	2.00E-05	2.00E-03	GCF_031199945.1
Oceanobacillus iheyensis	182710	S	306	28	334	2.00E-05	2.00E-03	GCF_003019985.1
Anoxybacillus amylolyticus	294699	S	366	31	397	2.00E-05	2.00E-03	GCF_004346755.1
Anoxybacillus flavithermus	33934	S	328	93	421	2.00E-05	2.00E-03	GCF_014890515.1
Anoxybacillus caldiproteolyticus	247480	S	309	38	347	2.00E-05	2.00E-03	GCF_016464715.1
Anoxybacillus sediminis	2613334	S	69	344	413	2.00E-05	2.00E-03	GCF_020923495.1
Halobacillus litoralis	45668	S	417	28	445	2.00E-05	2.00E-03	GCF_020524085.2
Psychrobacillus sp. AK 1817	2303505	S	124	465	589	2.00E-05	2.00E-03	GCF_008807035.1
Psychrobacillus glaciei	2283160	S	572	113	685	2.00E-05	2.00E-03	GCF_008973485.1
Niallia sp. RD1	2962858	S	414	140	554	2.00E-05	2.00E-03	GCF_024219955.1
Niallia sp. Man26	2912824	S	368	32	400	2.00E-05	2.00E-03	GCF_022049065.2
Niallia circulans	1397	S	662	139	801	2.00E-05	2.00E-03	GCF_031317065.1
Rossellomorea vietnamensis	218284	S	259	192	451	2.00E-05	2.00E-03	GCF_025398035.1
Salicibibacter cibarius	2743000	S	330	86	416	2.00E-05	2.00E-03	GCF_016495725.1
Salicibibacter halophilus	2502791	S	311	112	423	2.00E-05	2.00E-03	GCF_006740705.1
Fictibacillus enclensis	1017270	S	352	26	378	2.00E-05	2.00E-03	GCF_030348905.1
Sutcliffiella horikoshii	79883	S	468	65	533	2.00E-05	2.00E-03	GCF_023712515.1
Salisediminibacterium selenitireducens	85683	S	470	24	494	2.00E-05	2.00E-03	GCF_000093085.1
Shouchella clausii	79880	S	441	20	461	2.00E-05	2.00E-03	GCF_031932185.1
Caldalkalibacillus thermarum	296745	S	468	60	528	2.00E-05	2.00E-03	GCF_014644735.1
Siminovitchia fortis	254758	S	467	27	494	2.00E-05	2.00E-03	GCF_030123425.1
Lederbergia lenta	1467	S	408	46	454	2.00E-05	2.00E-03	GCF_023714885.1
Gottfriedia acidiceleris	371036	S	404	51	455	2.00E-05	2.00E-03	GCF_023115465.1
Halalkalibacter krulwichiae	199441	S	316	36	352	2.00E-05	2.00E-03	GCF_002109385.1
Caldibacillus thermoamylovorans	35841	S	307	60	367	2.00E-05	2.00E-03	GCF_027692225.1
Aeribacillus pallidus	33936	S	283	91	374	2.00E-05	2.00E-03	GCF_004210355.1
Paenibacillus sp. FSL R7-0273	1536772	S	876	60	936	2.00E-05	2.00E-03	GCF_001957005.1
Paenibacillus sp. FSL H7-0357	1536774	S	839	58	897	2.00E-05	2.00E-03	GCF_000758525.1
Paenibacillus sp. PK3_47	2072642	S	810	59	869	2.00E-05	2.00E-03	GCF_023520895.1
Paenibacillus sp. FSL R7-0331	1536773	S	712	49	761	2.00E-05	2.00E-03	GCF_000758645.1
Paenibacillus sp. YPD9-1	2908839	S	680	29	709	2.00E-05	2.00E-03	GCF_021513275.1
Paenibacillus sp. FSL P4-0081	1536769	S	674	158	832	2.00E-05	2.00E-03	GCF_000758565.1
Paenibacillus sp. RC67	3039392	S	597	29	626	2.00E-05	2.00E-03	GCF_030020805.1
Paenibacillus sp. CAA11	1532905	S	510	40	550	2.00E-05	2.00E-03	GCF_003060825.1
Paenibacillus sp. FSL R5-0912	1536771	S	481	97	578	2.00E-05	2.00E-03	GCF_000758605.1
Paenibacillus sp. YPG26	2878915	S	469	40	509	2.00E-05	2.00E-03	GCF_023704175.1
Paenibacillus sp. PK1-4R	3049075	S	466	395	861	2.00E-05	2.00E-03	GCF_030369595.1
Paenibacillus sp. 19GGS1-52	2758563	S	447	19	466	2.00E-05	2.00E-03	GCF_022369515.1
Paenibacillus sp. C31	3050112	S	394	30	424	2.00E-05	2.00E-03	GCF_030263935.1
Paenibacillus sp. IHBB 10380	1566358	S	377	32	409	2.00E-05	2.00E-03	GCF_007665735.1
Paenibacillus sp. D2_2	3073092	S	360	27	387	2.00E-05	2.00E-03	GCF_031199965.1
Paenibacillus sp. 481	2835869	S	348	10	358	2.00E-05	2.00E-03	GCF_021223605.1
Paenibacillus sp. JNUCC-31	2777983	S	342	53	395	2.00E-05	2.00E-03	GCF_014844075.1
Paenibacillus sp. DCT19	2211212	S	309	29	338	2.00E-05	2.00E-03	GCF_003268635.1
Paenibacillus sp. E222	2748863	S	304	90	394	2.00E-05	2.00E-03	GCF_013401555.1
Paenibacillus sp. Y412MC10	481743	S	290	319	609	2.00E-05	2.00E-03	GCF_007674065.1
Paenibacillus sp. FSL H7-0737	1536775	S	263	61	324	2.00E-05	2.00E-03	GCF_000758545.1
Paenibacillus sp. N3/727	2925845	S	245	174	419	2.00E-05	2.00E-03	GCF_022637315.1
Paenibacillus sp. CC-CFT742	2926710	S	169	326	495	2.00E-05	2.00E-03	GCF_030323285.1
Paenibacillus sp. BR1-192	3032287	S	143	463	606	2.00E-05	2.00E-03	GCF_029542445.1
Paenibacillus sp. Cedars	1980674	S	93	508	601	2.00E-05	2.00E-03	GCF_003184205.1
Paenibacillus sp. JNUCC-32	2777984	S	79	251	330	2.00E-05	2.00E-03	GCF_014863545.1
Paenibacillus sp. 37	2607911	S	42	507	549	2.00E-05	2.00E-03	GCF_008386395.1
Paenibacillus sp. DR312	2871175	S	30	466	496	2.00E-05	2.00E-03	GCF_019793795.1
Paenibacillus sp. S25	2823905	S	26	421	447	2.00E-05	2.00E-03	GCF_019454085.1
Paenibacillus sp. M-152	2487928	S	26	399	425	2.00E-05	2.00E-03	GCF_003856555.1
Paenibacillus sp. RC334	3045840	S	10	660	670	2.00E-05	2.00E-03	GCF_030034735.1
Paenibacillus riograndensis	483937	S	444	266	710	2.00E-05	2.00E-03	GCF_001546095.1
Paenibacillus sonchi	373687	S	291	366	657	2.00E-05	2.00E-03	GCF_021312615.1
Paenibacillus azoreducens	116718	S	917	46	963	2.00E-05	2.00E-03	GCF_021654775.1
Paenibacillus protaetiae	2509456	S	883	49	932	2.00E-05	2.00E-03	GCF_004135365.1
Paenibacillus naphthalenovorans	162209	S	873	62	935	2.00E-05	2.00E-03	GCF_005403365.1
Paenibacillus tianjinensis	2810347	S	861	108	969	2.00E-05	2.00E-03	GCF_017086365.1
Paenibacillus borealis	160799	S	798	138	936	2.00E-05	2.00E-03	GCF_001954415.1
Paenibacillus woosongensis	307580	S	789	93	882	2.00E-05	2.00E-03	GCF_030122845.1
Paenibacillus yonginensis	1462996	S	753	202	955	2.00E-05	2.00E-03	GCF_001685395.1
Paenibacillus algicola	2565926	S	750	42	792	2.00E-05	2.00E-03	GCF_005577435.1
Paenibacillus baekrokdamisoli	1712516	S	721	30	751	2.00E-05	2.00E-03	GCF_014191785.1
Paenibacillus swuensis	1178515	S	691	32	723	2.00E-05	2.00E-03	GCF_001644605.1
Paenibacillus physcomitrellae	1619311	S	684	151	835	2.00E-05	2.00E-03	GCF_014640575.1
Paenibacillus alvei	44250	S	678	39	717	2.00E-05	2.00E-03	GCF_026797755.1
Paenibacillus sophorae	1333845	S	648	110	758	2.00E-05	2.00E-03	GCF_018966525.1
Paenibacillus barcinonensis	198119	S	627	54	681	2.00E-05	2.00E-03	GCF_018917465.1
Paenibacillus jilunlii	682956	S	557	190	747	2.00E-05	2.00E-03	GCF_010450915.1
Paenibacillus urinalis	521520	S	482	40	522	2.00E-05	2.00E-03	GCF_028747985.1
Paenibacillus lutimineralis	2707005	S	460	31	491	2.00E-05	2.00E-03	GCF_023714245.1
Paenibacillus graminis	189425	S	456	119	575	2.00E-05	2.00E-03	GCF_000758705.1
Paenibacillus lautus	1401	S	452	439	891	2.00E-05	2.00E-03	GCF_023713885.1
Paenibacillus bovis	1616788	S	440	20	460	2.00E-05	2.00E-03	GCF_007679095.1
Paenibacillus lentus	1338368	S	409	22	431	2.00E-05	2.00E-03	GCF_003931855.1
Paenibacillus odorifer	189426	S	404	45	449	2.00E-05	2.00E-03	GCF_031977455.1
Paenibacillus larvae	1464	S	366	3	369	2.00E-05	2.00E-03	GCF_031949745.1
Paenibacillus crassostreae	1763538	S	355	23	378	2.00E-05	2.00E-03	GCF_001857945.1
Paenibacillus antarcticus	253703	S	331	23	354	2.00E-05	2.00E-03	GCF_008369725.1
Paenibacillus terrae	159743	S	330	131	461	2.00E-05	2.00E-03	GCF_008271705.1
Paenibacillus kribbensis	172713	S	316	55	371	2.00E-05	2.00E-03	GCF_013394225.1
Paenibacillus brasilensis	128574	S	282	70	352	2.00E-05	2.00E-03	GCF_030814985.1
Paenibacillus marchantiae	3026433	S	249	77	326	2.00E-05	2.00E-03	GCF_028771845.1
Paenibacillus xylanexedens	528191	S	233	372	605	2.00E-05	2.00E-03	GCF_963529395.1
Paenibacillus uliginis	683737	S	222	147	369	2.00E-05	2.00E-03	GCF_900177425.1
Paenibacillus xylanilyticus	248903	S	176	349	525	2.00E-05	2.00E-03	GCF_013359935.1
Paenibacillus glucanolyticus	59843	S	122	658	780	2.00E-05	2.00E-03	GCF_009377295.1
Brevibacillus sp. HD3.3A	2738979	S	55	394	449	2.00E-05	2.00E-03	GCF_013284375.2
Brevibacillus sp. NSP2.1	3003229	S	39	481	520	2.00E-05	2.00E-03	GCF_000470975.2
Brevibacillus humidisoli	2895522	S	914	39	953	2.00E-05	2.00E-03	GCF_020923435.1
Brevibacillus choshinensis	54911	S	911	56	967	2.00E-05	2.00E-03	GCF_016811915.1
Brevibacillus aydinogluensis	927786	S	72	326	398	2.00E-05	2.00E-03	GCF_031954365.1
Cohnella abietis	2507935	S	697	40	737	2.00E-05	2.00E-03	GCF_004295585.1
Aneurinibacillus sp. Ricciae_BoGa-3	3022697	S	537	64	601	2.00E-05	2.00E-03	GCF_028421645.1
Aneurinibacillus sp. B1	2966586	S	295	34	329	2.00E-05	2.00E-03	GCF_028471905.1
Aneurinibacillus sp. XH2	1450761	S	14	341	355	2.00E-05	2.00E-03	GCF_008764455.1
Aneurinibacillus soli	1500254	S	362	44	406	2.00E-05	2.00E-03	GCF_003217555.1
Alicyclobacillus sp. SO9	2665646	S	471	7	478	2.00E-05	2.00E-03	GCF_016406125.1
Alicyclobacillus acidoterrestris	1450	S	864	67	931	2.00E-05	2.00E-03	GCF_022674245.1
Alicyclobacillus mengziensis	2931921	S	715	15	730	2.00E-05	2.00E-03	GCF_017298635.1
Alicyclobacillus dauci	1475485	S	663	49	712	2.00E-05	2.00E-03	GCF_026651605.1
Effusibacillus dendaii	2743772	S	630	32	662	2.00E-05	2.00E-03	GCF_015097055.1
Sporosarcina sp. Marseille-Q4063	2810514	S	448	12	460	2.00E-05	2.00E-03	GCF_018309085.1
Sporosarcina sp. Te-1	2818390	S	362	35	397	2.00E-05	2.00E-03	GCF_017498505.1
Sporosarcina sp. resist	2762563	S	256	442	698	2.00E-05	2.00E-03	GCF_014302295.1
Sporosarcina thermotolerans	633404	S	650	62	712	2.00E-05	2.00E-03	GCF_030067815.1
Sporosarcina ureae	1571	S	568	67	635	2.00E-05	2.00E-03	GCF_032087075.1
Sporosarcina psychrophila	1476	S	268	535	803	2.00E-05	2.00E-03	GCF_001590685.1
Planococcus sp. MB-3u-03	2058136	S	355	123	478	2.00E-05	2.00E-03	GCF_002833405.1
Planococcus sp. N056	3058394	S	311	99	410	2.00E-05	2.00E-03	GCF_030413595.1
Planococcus sp. N016	3058398	S	309	44	353	2.00E-05	2.00E-03	GCF_030413635.1
Planococcus sp. N022	3058393	S	307	42	349	2.00E-05	2.00E-03	GCF_030413615.1
Planococcus maritimus	192421	S	596	136	732	2.00E-05	2.00E-03	GCF_947494135.1
Planococcus plakortidis	1038856	S	536	183	719	2.00E-05	2.00E-03	GCF_001687605.2
Planococcus lenghuensis	2213202	S	489	43	532	2.00E-05	2.00E-03	GCF_001999905.1
Planococcus glaciei	459472	S	339	110	449	2.00E-05	2.00E-03	GCF_019599365.1
Planococcus rifietoensis	200991	S	311	124	435	2.00E-05	2.00E-03	GCF_001465795.2
Solibacillus sp. R5-41	2048654	S	329	46	375	2.00E-05	2.00E-03	GCF_002736105.1
Solibacillus silvestris	76853	S	501	73	574	2.00E-05	2.00E-03	GCF_001677985.1
Exiguobacterium alkaliphilum	1428684	S	793	102	895	2.00E-05	2.00E-03	GCF_025234775.1
Exiguobacterium aurantiacum	33987	S	537	183	720	2.00E-05	2.00E-03	GCF_024362205.1
Exiguobacterium mexicanum	340146	S	432	109	541	2.00E-05	2.00E-03	GCF_030286095.1
Exiguobacterium acetylicum	41170	S	333	387	720	2.00E-05	2.00E-03	GCF_030929625.1
